City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Esperance,-33.8667,121.9,64.4,82,0,11.5,AU,1616169348
Santa,17.486,120.4348,79.03,82,99,4.32,PH,1616169349
Kushiro,42.975,144.3747,28.63,81,94,4.61,JP,1616169349
Krivosheino,57.3431,83.9261,24.6,90,100,11.61,RU,1616169350
Tessalit,20.1986,1.0114,90.72,6,0,11.1,ML,1616169350
Chapais,49.7834,-74.8492,10.4,56,1,9.22,CA,1616169351
Narasannapeta,18.4167,84.05,75.69,72,47,5.44,IN,1616169352
Kholtoson,50.2981,103.3097,13.69,96,100,1.88,RU,1616169352
Lodja,-3.4833,23.4333,83.93,64,95,0.96,CD,1616169353
Marabu,4.4148,114.0089,80.6,94,40,4.61,MY,1616169354
Vila,42.0304,-8.1588,51.01,72,98,14.0,PT,1616169297
Arrondissement de Saint-Malo,48.5,-1.8333,48.99,57,0,21.85,FR,1616169355
San,13.3034,-4.8956,102.25,7,25,4.47,ML,1616169344
Peleduy,59.6289,112.7406,20.07,95,100,7.67,RU,1616169356
Romny,50.751,33.4747,34.03,80,100,4.94,UA,1616169356
Kulhudhuffushi,6.6221,73.07,83.14,69,37,5.79,MV,1616169357
Kapchorwa,1.3965,34.4509,68.34,61,87,4.59,UG,1616169357
Merauke,-8.4667,140.3333,77.63,85,98,6.49,ID,1616169304
Iracoubo,5.4802,-53.2011,81.3,67,35,8.16,GF,1616169358
Flinders,-34.5833,150.8552,70.0,90,100,5.01,AU,1616169358
Fairbanks,64.8378,-147.7164,0.0,84,75,1.99,US,1616169359
Necochea,-38.5473,-58.7368,70.0,51,0,5.01,AR,1616169359
Poronaysk,49.2167,143.1167,20.97,76,100,5.61,RU,1616169360
Acará,-1.9608,-48.1967,79.05,94,91,3.65,BR,1616169360
Cururupu,-1.8283,-44.8683,82.02,85,50,3.96,BR,1616169361
Montanha,-18.1269,-40.3633,82.49,66,100,5.59,BR,1616169361
Amboasary,-25.0333,46.3833,82.4,74,20,21.85,MG,1616169362
Tomatlán,19.9333,-105.25,82.36,36,0,3.47,MX,1616169363
Miyako,39.6367,141.9525,36.55,78,65,3.24,JP,1616169363
Zhicheng,30.2956,111.5047,46.0,91,100,1.07,CN,1616169364
Makakilo,21.3524,-158.0865,69.8,68,20,6.91,US,1616169365
Shimsk,58.212,30.7127,23.43,76,82,6.85,RU,1616169365
Senneterre,48.3835,-77.2328,21.2,53,20,11.5,CA,1616169366
Talnakh,69.4865,88.3972,-24.02,93,45,9.46,RU,1616169366
Mount Abu,24.6,72.7,63.97,26,8,3.76,IN,1616169366
Tūkrah,32.5341,20.5791,66.96,53,97,18.68,LY,1616169367
Ahipara,-35.1667,173.1667,57.33,84,1,7.65,NZ,1616169368
Cherskiy,68.75,161.3,-32.03,100,10,1.25,RU,1616169368
Kavaratti,10.5669,72.642,83.44,72,2,9.64,IN,1616169369
Hasaki,35.7333,140.8333,46.4,87,20,5.75,JP,1616169369
Oranjestad,12.524,-70.027,82.4,61,20,18.41,AW,1616169175
Anloga,5.7947,0.8973,86.0,66,20,9.22,GH,1616169370
Grindavik,63.8424,-22.4338,46.4,87,75,26.46,IS,1616169371
Fort,52.6517,6.3861,46.99,58,45,4.0,NL,1616169198
Dandong,40.1292,124.3947,45.45,66,100,3.29,CN,1616169372
Eureka,40.8021,-124.1637,46.99,76,20,8.05,US,1616169372
Seoul,37.5683,126.9778,59.0,66,53,4.61,KR,1616169188
Gilbués,-9.8317,-45.3439,81.3,70,100,6.04,BR,1616169373
Airai,-8.9266,125.4092,59.94,90,74,1.86,TL,1616169373
Lowestoft,52.4752,1.7516,48.0,81,0,5.01,GB,1616169286
Madang,-5.2246,145.7966,76.66,88,98,4.05,PG,1616169374
Saposoa,-6.934,-76.7716,78.8,78,75,2.55,PE,1616169374
Roebourne,-20.7833,117.1333,78.87,59,0,20.15,AU,1616169375
Angleton,29.1694,-95.4319,60.01,54,1,9.22,US,1616169376
Esim,4.8699,-2.2405,83.79,66,99,9.89,GH,1616169376
Alice,27.7523,-98.0697,64.4,39,1,11.5,US,1616169377
Dunmore,41.4198,-75.6324,34.0,37,1,16.11,US,1616169377
Port,-7.0349,29.7638,77.38,69,89,1.9,CD,1616169229
Swan,18.2242,121.3791,73.31,98,99,1.57,PH,1616169378
Mentakab,3.4865,102.3516,75.43,83,21,1.68,MY,1616169379
Alappuzha,9.49,76.3264,82.11,77,48,2.64,IN,1616169379
Atasū,48.6814,71.6433,29.23,57,88,15.21,KZ,1616169380
Saint-Paul,-21.0096,55.2707,78.8,69,90,13.8,RE,1616169381
Baoro,5.6667,15.9667,87.67,43,60,5.32,CF,1616169381
Ergolding,48.5833,12.1667,36.0,93,40,4.61,DE,1616169382
Comodoro,-13.6631,-59.7858,77.36,75,100,2.68,BR,1616169383
Rāzampeta,14.1833,79.1667,75.74,57,0,3.67,IN,1616169383
Sungai Raya,0.7,108.9,78.35,86,59,5.64,ID,1616169384
Fortuna,40.5982,-124.1573,48.0,93,1,6.91,US,1616169280
Leningradskiy,69.3833,178.4167,-22.92,85,15,0.56,RU,1616169385
Evanston,42.0411,-87.6901,39.99,45,20,12.66,US,1616169261
Nanortalik,60.1432,-45.2371,30.24,79,100,15.66,GL,1616169385
Rome,43.2128,-75.4557,30.0,39,1,13.8,US,1616169189
Andenes,69.3143,16.1194,41.0,81,75,28.77,NO,1616169386
Lata,40.1629,-8.3327,61.0,47,0,18.41,PT,1616169386
California,38.3004,-76.5074,42.8,52,1,9.22,US,1616169209
Kamina,-8.7386,24.9906,72.59,87,100,2.13,CD,1616169387
Mayo,38.8876,-76.5119,44.01,42,1,18.41,US,1616169262
Sydney,-33.8679,151.2073,69.01,99,100,10.0,AU,1616169228
Dawson,31.7735,-84.4466,55.4,58,75,10.36,US,1616169388
Yeppoon,-23.1333,150.7333,75.2,83,40,6.91,AU,1616169389
Katsuura,35.1333,140.3,54.0,71,40,6.91,JP,1616169389
Launceston,-41.45,147.1667,53.01,87,10,8.05,AU,1616169390
Bud,39.447,-86.1758,42.01,53,97,15.68,US,1616169390
Tooele,40.5308,-112.2983,57.2,38,1,18.41,US,1616169391
Yanam,16.7333,82.2167,73.38,81,26,2.84,IN,1616169392
Melfi,40.9965,15.6514,48.2,80,90,10.36,IT,1616169392
Terrace,54.5163,-128.6035,33.8,100,90,2.3,CA,1616169393
Verāval,20.9,70.3667,74.66,84,0,11.7,IN,1616169393
Grand,38.8755,-109.5012,46.4,46,1,10.36,US,1616169338
Nhulunbuy,-12.2333,136.7667,77.0,94,90,3.44,AU,1616169394
Mingshui,36.7167,117.5,48.2,61,90,13.42,CN,1616169395
Olinda,-8.0089,-34.8553,84.2,58,40,12.66,BR,1616169395
Gusau,12.1628,6.6614,101.14,13,37,4.43,NG,1616169395
Port,-7.0349,29.7638,77.38,69,89,1.9,CD,1616169334
Bousso,10.4795,16.7117,100.35,22,15,11.48,TD,1616169396
Ndendé,-2.4008,11.3581,74.89,96,100,2.3,GA,1616169396
Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.0,100,90,6.71,RU,1616169397
Bathsheba,13.2167,-59.5167,82.4,54,40,17.27,BB,1616169397
Ambon City,-3.6954,128.1814,77.0,94,20,3.44,ID,1616169219
Marsh,53.6512,-1.8078,48.99,88,100,3.0,GB,1616169398
Mahon,39.8885,4.2658,48.2,61,40,14.97,ES,1616169399
Dwārka,22.2394,68.9678,76.05,80,0,11.52,IN,1616169400
Harper,4.375,-7.7169,83.25,71,0,10.02,LR,1616169400
Bandarbeyla,9.4942,50.8122,78.96,72,37,13.91,SO,1616169401
Longkou,37.6508,120.3286,40.82,64,100,7.76,CN,1616169401
Aswān,24.0934,32.907,83.91,10,0,10.25,EG,1616169402
Kozhva,65.1073,57.0459,7.02,95,98,7.65,RU,1616169403
Buriti,-22.9302,-45.3881,84.2,58,75,8.05,BR,1616169403
Monteagudo,-19.8167,-63.9833,73.4,64,90,6.82,BO,1616169404
Mahibadhoo,3.7833,72.9667,83.37,72,17,7.78,MV,1616169404
Yorkton,51.2167,-102.4677,35.6,75,1,14.97,CA,1616169196
Hobyo,5.3505,48.5268,81.79,78,83,16.13,SO,1616169405
Butembo,0.15,29.2833,64.53,85,88,1.99,CD,1616169406
Inta,66.0317,60.1659,-6.86,97,59,10.31,RU,1616169407
Nipawin,53.3668,-104.0009,32.0,80,1,9.22,CA,1616169407
Synya,65.3718,58.0387,2.07,96,84,6.4,RU,1616169408
Nuuk,64.1835,-51.7216,30.2,47,90,8.05,GL,1616169408
Harrisonburg,38.4496,-78.8689,44.01,41,81,1.99,US,1616169333
Kumul,42.8,93.45,35.08,20,0,13.11,CN,1616169246
Huntington,38.4193,-82.4452,44.01,45,1,14.97,US,1616169156
Bellavista,-7.0561,-76.5911,78.8,78,75,1.57,PE,1616169410
Białogard,54.007,15.9875,30.0,66,53,5.99,PL,1616169382
Kaura,12.2928,4.4627,102.43,15,90,4.27,NG,1616169411
Dubbo,-32.25,148.6167,64.4,77,90,12.66,AU,1616169411
Tadine,-21.55,167.8833,75.02,79,100,15.64,NC,1616169412
Port-Cartier,50.0334,-66.8654,17.01,40,20,14.97,CA,1616169412
Maxixe,-23.8597,35.3472,84.2,65,20,6.91,MZ,1616169413
Ust-Maya,60.4167,134.5333,1.87,96,88,3.74,RU,1616169414
Kirakira,-10.4544,161.9205,79.23,81,83,3.8,SB,1616169118
Leshukonskoye,64.8989,45.7622,6.53,96,93,5.28,RU,1616169415
Kanungu,-0.9575,29.7897,67.59,83,55,3.24,UG,1616169415
Erbil,36.1926,44.0106,60.8,48,40,3.44,IQ,1616169416
Guerrero,17.6667,-100.0,78.17,47,0,4.5,MX,1616169416
Buchanan,5.8808,-10.0467,89.6,66,20,12.66,LR,1616169416
Srednekolymsk,67.45,153.6833,-27.27,96,0,2.64,RU,1616169417
Coyhaique,-45.5752,-72.0662,57.2,47,75,9.22,CL,1616169153
Wolbrom,50.3796,19.7583,36.0,70,99,1.99,PL,1616169418
Nicoya,10.1483,-85.452,86.0,58,40,4.61,CR,1616169418
Toora-Khem,52.4675,96.11,8.65,89,16,1.28,RU,1616169419
Prome,18.8167,95.2167,79.0,31,12,3.78,MM,1616169420
Acaraú,-2.8856,-40.12,85.55,68,57,12.68,BR,1616169421
Sechura,-5.5569,-80.8222,82.35,54,99,9.66,PE,1616169421
Sitka,57.0531,-135.33,33.8,86,90,13.8,US,1616169422
Magnolia,33.2671,-93.2393,52.0,66,90,10.36,US,1616169422
Prieska,-29.6641,22.7474,88.84,15,18,10.83,ZA,1616169423
El Puerto de Santa María,36.5939,-6.233,66.2,34,0,10.36,ES,1616169317
Esil,51.9556,66.4042,31.64,76,100,16.49,KZ,1616169423
Anadyr,64.75,177.4833,-18.0,76,0,6.71,RU,1616169424
Carbonia,39.1672,8.5222,54.0,81,75,1.14,IT,1616169195
Batagay,67.6333,134.6333,3.97,82,94,5.75,RU,1616169425
Dunedin,-45.8742,170.5036,55.0,74,91,10.0,NZ,1616169256
Thohoyandou,-22.9456,30.485,78.13,57,12,4.59,ZA,1616169425
Red,37.9709,71.73,36.01,90,100,2.93,TJ,1616169426
Gisborne,-38.6533,178.0042,54.0,94,91,1.99,NZ,1616169426
Dedza,-14.3779,34.3332,62.47,95,83,1.5,MW,1616169427
Zunyi,27.6867,106.9072,60.96,87,95,5.48,CN,1616169428
Pangnirtung,66.1451,-65.7125,-13.0,64,1,2.3,CA,1616169428
Fayaoué,-20.65,166.5333,78.84,78,100,18.54,NC,1616169429
Sioux,42.7333,-96.2336,39.99,70,1,11.5,US,1616169430
Province of Mantua,45.1667,10.7833,48.99,53,77,4.0,IT,1616169430
Finnsnes,69.2296,17.9811,42.8,56,40,14.97,NO,1616169256
Malartic,48.1335,-78.1328,27.0,53,20,11.5,CA,1616169431
Melbu,68.5044,14.8297,41.0,87,75,17.27,NO,1616169432
Arlit,18.7369,7.3853,100.17,7,8,10.76,NE,1616169432
Mirpur,33.1489,73.7552,69.62,31,0,5.48,PK,1616169433
Sassari,40.7272,8.5603,53.6,54,40,10.36,IT,1616169434
Bījār,35.8668,47.6051,39.79,50,0,16.62,IR,1616169434
Norwich,52.6278,1.2983,48.99,66,20,9.22,GB,1616169435
Kenora,49.8167,-94.4337,35.6,64,20,16.11,CA,1616169395
Nālūt,30.3333,10.85,71.98,20,0,17.69,LY,1616169436
Paamiut,61.994,-49.6678,29.7,64,100,18.77,GL,1616169436
Marzuq,14.4,46.4667,67.37,43,23,7.16,YE,1616169437
Ābdānān,32.9926,47.4198,59.86,33,25,8.14,IR,1616169437
Bokoro,12.3807,17.0568,102.52,18,76,5.01,TD,1616169438
Guanare,9.0418,-69.7421,84.2,51,99,3.44,VE,1616169439
Lucea,18.451,-78.1736,84.0,69,20,16.11,JM,1616169144
Heihe,50.2441,127.4902,17.6,67,0,2.24,CN,1616169885
Terney,45.0503,136.6092,28.42,75,0,6.78,RU,1616169886
Lábrea,-7.2586,-64.7981,83.86,67,100,3.67,BR,1616169886
Maragogi,-9.0122,-35.2225,84.67,62,10,9.8,BR,1616169887
Suntar,62.1444,117.6319,18.63,94,100,6.35,RU,1616169888
Jalu,29.0331,21.5482,83.25,14,4,15.21,LY,1616169888
Kommunar,59.6206,30.39,23.0,54,75,8.95,RU,1616169889
Gigmoto,13.7796,124.39,79.45,85,35,4.94,PH,1616169890
Santa,17.486,120.4348,79.03,82,99,4.32,PH,1616169890
Shache,38.4167,77.2406,45.63,32,59,2.55,CN,1616169891
Oranjemund,-28.55,16.4333,65.97,79,24,18.86,NA,1616169892
Sambava,-14.2667,50.1667,79.34,85,96,8.66,MG,1616169892
Mawlaik,23.6333,94.4167,74.41,26,100,0.98,MM,1616169893
Mareeba,-17.0,145.4333,73.4,94,100,1.79,AU,1616169894
Vrangel',42.7297,133.0839,34.83,63,58,3.06,RU,1616169894
Nome,64.5011,-165.4064,-20.0,69,1,3.98,US,1616169895
Sao,20.5113,76.2129,79.5,36,36,10.74,IN,1616169895
Bodaybo,57.8506,114.1933,16.63,93,100,5.46,RU,1616169896
Victor,42.9826,-77.4089,30.0,54,1,5.01,US,1616169897
Tezu,27.9167,96.1667,76.39,24,13,4.79,IN,1616169897
Newport,51.5877,-2.9984,52.0,78,89,11.72,GB,1616169875
Williston,48.147,-103.618,39.2,60,1,8.05,US,1616169058
Tongren,27.7172,109.1853,47.71,91,99,6.24,CN,1616169618
Departamento de Maldonado,-34.6667,-54.9167,69.8,56,0,8.05,UY,1616169728
Hoshcha,50.6003,26.6744,32.0,74,40,6.71,UA,1616169899
Balabac,7.9868,117.0645,82.22,80,86,7.63,PH,1616169899
Mariehamn,60.0973,19.9348,28.4,40,0,8.05,AX,1616169900
Isangel,-19.55,169.2667,71.6,94,20,10.96,VU,1616169869
Nyurba,63.2842,118.3319,9.01,92,100,4.76,RU,1616169901
Dingle,10.9995,122.6711,77.52,81,21,5.46,PH,1616169902
Chirongui,-12.9319,45.1483,82.4,83,38,5.75,YT,1616169902
Xinmin,41.9908,122.8253,44.6,36,100,4.47,CN,1616169905
Khani,41.9563,42.9566,42.8,93,90,2.3,GE,1616169906
Almaznyy,48.0448,40.045,39.2,87,75,11.18,RU,1616169906
Tartous,34.889,35.8866,59.0,74,0,2.59,SY,1616169907
Berdigestyakh,62.0989,126.6992,18.84,94,100,7.25,RU,1616169908
Wellington,-41.2866,174.7756,53.6,76,0,4.61,NZ,1616169908
Tabas,33.5959,56.9244,77.38,17,20,9.57,IR,1616169909
Misratah,32.3754,15.0925,65.79,63,37,13.76,LY,1616169910
Padang,-0.9492,100.3543,77.0,94,75,4.61,ID,1616169910
Ambatofinandrahana,-20.55,46.8,64.44,93,100,7.94,MG,1616169911
Aljezur,37.3191,-8.8033,61.84,48,70,12.48,PT,1616169911
Fort-Shevchenko,44.5086,50.263,41.05,81,0,12.19,KZ,1616169912
Santa,17.486,120.4348,79.03,82,99,4.32,PH,1616169912
Ust-Kuyga,70.0167,135.6,-3.3,92,100,6.73,RU,1616169913
Katherine,-14.4667,132.2667,75.2,100,100,4.61,AU,1616169823
Cloquet,46.7216,-92.4594,45.0,30,1,17.27,US,1616169842
Paseh,-7.1026,107.7641,68.49,95,100,2.01,ID,1616169914
Tiznit Province,29.5833,-9.5,59.04,64,79,17.78,MA,1616169914
Kastamonu Province,41.5,33.6667,36.9,90,100,3.15,TR,1616169873
Tegul'det,57.3064,88.1667,22.66,91,100,11.21,RU,1616169915
Sao,20.5113,76.2129,79.5,36,36,10.74,IN,1616169916
Pithora,21.2667,82.5167,80.53,43,86,6.91,IN,1616169916
Tolyatti,53.5303,49.3461,30.2,80,40,20.13,RU,1616169917
Carnot,4.9409,15.8665,91.67,38,40,3.98,CF,1616169662
Sao,20.5113,76.2129,79.5,36,36,10.74,IN,1616169917
Ubari,26.5921,12.7805,85.89,11,0,22.5,LY,1616169622
Molochnoye,59.2917,39.6787,23.9,93,100,7.14,RU,1616169918
Taoudenni,22.6783,-3.9836,95.74,5,0,18.57,ML,1616169918
Muzhi,65.3667,64.6667,-10.53,97,97,10.07,RU,1616169919
Colac,-38.3333,143.5833,61.0,93,4,9.84,AU,1616169920
Bassar,9.25,0.7833,91.4,55,0,2.3,TG,1616169920
Severo-Yeniseyskiy,60.3725,93.0408,21.54,87,100,16.24,RU,1616169921
Matane,48.8286,-67.522,15.01,57,68,15.43,CA,1616169922
Saint-Augustin,51.226,-58.6502,21.25,83,64,13.73,CA,1616169922
Yuzhno-Kurilsk,44.0306,145.8556,24.98,85,5,15.23,RU,1616169923
Bassila,9.0081,1.6654,89.6,55,0,2.3,BJ,1616169923
Adrar,20.5022,-10.0711,91.26,7,0,9.04,MR,1616169924
Kirkwall,58.9848,-2.9587,46.4,87,75,10.36,GB,1616169924
Marshall,34.3834,-86.3333,50.0,81,90,11.5,US,1616169925
Greytown,-29.0642,30.5928,66.33,90,1,7.14,ZA,1616169925
Yar-Sale,66.8333,70.8333,-18.11,98,27,10.11,RU,1616169926
Bershet',57.7309,56.3783,33.8,69,75,11.18,RU,1616169926
Port,-7.0349,29.7638,77.38,69,89,1.9,CD,1616169927
Taltal,-25.4,-70.4833,68.29,72,62,5.55,CL,1616169907
Labuhan,-6.8844,112.2051,80.56,84,92,7.61,ID,1616169928
Carroll,39.5501,-77.0164,39.99,41,1,9.22,US,1616169928
Kardailovo,51.5386,53.9042,33.75,98,100,9.6,RU,1616169929
Arnprior,45.4334,-76.3494,27.0,48,0,1.01,CA,1616169918
Vao,-22.6667,167.4833,76.33,77,100,20.87,NC,1616169929
North,50.3333,3.6667,48.0,53,0,13.8,FR,1616169930
Copiapó,-27.3667,-70.3333,68.0,45,0,8.05,CL,1616169930
Āreka,7.0667,37.7,69.01,63,91,4.47,ET,1616169931
San,13.3034,-4.8956,102.25,7,25,4.47,ML,1616169676
Westport,41.1415,-73.3579,39.2,24,1,19.57,US,1616169932
Yuli,9.6989,10.2744,103.95,16,51,4.97,NG,1616169932
Half,6.3807,-10.6953,89.6,66,20,12.66,LR,1616169933
Petrokamenskoye,57.716,60.6484,26.74,96,100,7.29,RU,1616169934
Makat,47.6469,53.3463,32.59,96,100,24.34,KZ,1616169934
Kaabong,3.4836,34.1492,72.37,61,73,8.52,UG,1616169935
Roxana,10.2753,-83.7513,80.01,68,75,19.57,CR,1616169935
Caravelas,-17.7125,-39.2481,85.5,56,62,9.71,BR,1616169936
Waterford,42.7023,-83.4027,41.0,34,1,13.8,US,1616169684
Balakhta,55.38,91.6,12.49,89,70,3.49,RU,1616169937
Pāsighāt,28.0667,95.3333,75.49,37,2,4.83,IN,1616169937
Rey,35.5883,51.449,60.8,12,75,6.91,IR,1616169938
Aberdeen,57.1437,-2.0981,50.0,87,90,11.5,GB,1616169770
Mocuba,-16.8392,36.9856,75.4,95,56,4.68,MZ,1616169939
Camacha,33.0833,-16.3333,62.6,55,75,13.8,PT,1616169939
Petkovci,44.4531,19.0761,42.8,49,40,3.44,BA,1616169940
Amvrosiyivka,47.7935,38.4777,39.34,72,100,5.86,UA,1616169727
Mattru,7.6244,-11.8332,96.4,37,25,5.91,SL,1616169941
Prince,52.9669,-108.3847,44.6,57,1,8.05,CA,1616169942
